Bookmark,Frame#,Source Port,Destination Port,Length,Checksum,Frame Size,Delta,Timestamp,
="",258,,,,,308,="",="2/5/2026 4:51:39.347040450 PM",
="",276,,,,,413,="",="2/5/2026 4:51:39.387486185 PM",
="",285,,,,,365,="",="2/5/2026 4:51:39.411105740 PM",
="",291,,,,,382,="",="2/5/2026 4:51:39.437596830 PM",
="",300,,,,,341,="",="2/5/2026 4:51:39.461008440 PM",
="",318,,,,,368,="",="2/5/2026 4:51:39.508575975 PM",
="",320,,,,,365,="",="2/5/2026 4:51:39.513519160 PM",
="",340,,,,,421,="",="2/5/2026 4:51:39.591373505 PM",
="",342,,,,,400,="",="2/5/2026 4:51:39.592934180 PM",
="",367,,,,,342,="",="2/5/2026 4:51:39.666702680 PM",
="",374,,,,,421,="",="2/5/2026 4:51:39.693773680 PM",
="",375,,,,,413,="",="2/5/2026 4:51:39.694615605 PM",
="",376,,,,,400,="",="2/5/2026 4:51:39.695417345 PM",
="",394,,,,,314,="",="2/5/2026 4:51:39.742470350 PM",
="",406,,,,,413,="",="2/5/2026 4:51:39.793408935 PM",
="",407,,,,,421,="",="2/5/2026 4:51:39.796174895 PM",
="",408,,,,,413,="",="2/5/2026 4:51:39.796994165 PM",
="",409,,,,,400,="",="2/5/2026 4:51:39.797772970 PM",
="",420,,,,,466,="",="2/5/2026 4:51:39.837875970 PM",
="",425,,,,,113,="",="2/5/2026 4:51:39.844781570 PM",
="",432,,,,,205,="",="2/5/2026 4:51:39.875429840 PM",
="",434,,,,,113,="",="2/5/2026 4:51:39.883672050 PM",
="",463,,,,,117,="",="2/5/2026 4:51:39.968705450 PM",
="",464,,,,,247,="",="2/5/2026 4:51:39.969477525 PM",
="",465,,,,,364,="",="2/5/2026 4:51:39.971375195 PM",
="",477,,,,,413,="",="2/5/2026 4:51:39.998273505 PM",
="",478,,,,,400,="",="2/5/2026 4:51:39.999105700 PM",
="",479,,,,,229,="",="2/5/2026 4:51:40.000977955 PM",
="",480,,,,,413,="",="2/5/2026 4:51:40.001826575 PM",
="",481,,,,,400,="",="2/5/2026 4:51:40.002572325 PM",
="",518,,,,,413,="",="2/5/2026 4:51:40.104170575 PM",
="",519,,,,,400,="",="2/5/2026 4:51:40.104924780 PM",
="",545,,,,,421,="",="2/5/2026 4:51:40.205778070 PM",
="",547,,,,,400,="",="2/5/2026 4:51:40.207354850 PM",
="",552,,,,,35,="",="2/5/2026 4:51:40.227420205 PM",
="",553,,,,,427,="",="2/5/2026 4:51:40.227640475 PM",
="",572,,,,,342,="",="2/5/2026 4:51:40.293444340 PM",
="",577,,,,,421,="",="2/5/2026 4:51:40.308178670 PM",
="",578,,,,,413,="",="2/5/2026 4:51:40.308980980 PM",
="",579,,,,,400,="",="2/5/2026 4:51:40.309762545 PM",
="",586,,,,,427,="",="2/5/2026 4:51:40.330040995 PM",
="",587,,,,,424,="",="2/5/2026 4:51:40.330791415 PM",
="",593,,,,,378,="",="2/5/2026 4:51:40.373021280 PM",
="",600,,,,,364,="",="2/5/2026 4:51:40.380981380 PM",
="",607,,,,,333,="",="2/5/2026 4:51:40.389920515 PM",
="",610,,,,,425,="",="2/5/2026 4:51:40.398973335 PM",
="",611,,,,,421,="",="2/5/2026 4:51:40.410582405 PM",
="",612,,,,,413,="",="2/5/2026 4:51:40.411432690 PM",
="",613,,,,,400,="",="2/5/2026 4:51:40.412173440 PM",
="",619,,,,,229,="",="2/5/2026 4:51:40.433274860 PM",
="",642,,,,,425,="",="2/5/2026 4:51:40.501389925 PM",
="",644,,,,,421,="",="2/5/2026 4:51:40.512979875 PM",
="",645,,,,,413,="",="2/5/2026 4:51:40.513821160 PM",
="",646,,,,,229,="",="2/5/2026 4:51:40.514589725 PM",
="",654,,,,,424,="",="2/5/2026 4:51:40.535688065 PM",
="",673,,,,,364,="",="2/5/2026 4:51:40.585780905 PM",
="",690,,,,,397,="",="2/5/2026 4:51:40.639541755 PM",
="",694,,,,,480,="",="2/5/2026 4:51:40.659978720 PM",
="",697,,,,,377,="",="2/5/2026 4:51:40.667873520 PM",
="",724,,,,,424,="",="2/5/2026 4:51:40.740431855 PM",
="",725,,,,,365,="",="2/5/2026 4:51:40.742315150 PM",
="",736,,,,,315,="",="2/5/2026 4:51:40.791095970 PM",
="",740,,,,,99,="",="2/5/2026 4:51:40.793361915 PM",
="",773,,,,,323,="",="2/5/2026 4:51:40.851964270 PM",
="",782,,,,,315,="",="2/5/2026 4:51:40.894439590 PM",
="",790,,,,,421,="",="2/5/2026 4:51:40.922582995 PM",
="",792,,,,,400,="",="2/5/2026 4:51:40.924197485 PM",
="",795,,,,,427,="",="2/5/2026 4:51:40.944542925 PM",
="",796,,,,,424,="",="2/5/2026 4:51:40.945319425 PM",
="",797,,,,,365,="",="2/5/2026 4:51:40.947120130 PM",
="",814,,,,,342,="",="2/5/2026 4:51:40.997890555 PM",
="",823,,,,,364,="",="2/5/2026 4:51:41.023584735 PM",
="",836,,,,,229,="",="2/5/2026 4:51:41.082992790 PM",
="",840,,,,,469,="",="2/5/2026 4:51:41.092938800 PM",
="",841,,,,,415,="",="2/5/2026 4:51:41.096638680 PM",
="",856,,,,,421,="",="2/5/2026 4:51:41.127384930 PM",
="",911,,,,,324,="",="2/5/2026 4:51:41.313338940 PM",
="",922,,,,,400,="",="2/5/2026 4:51:41.333788195 PM",
="",931,,,,,229,="",="2/5/2026 4:51:41.381679970 PM",
="",942,,,,,342,="",="2/5/2026 4:51:41.419855190 PM",
="",954,,,,,367,="",="2/5/2026 4:51:41.451715065 PM",
="",967,,,,,377,="",="2/5/2026 4:51:41.486540870 PM",
="",978,,,,,229,="",="2/5/2026 4:51:41.522160570 PM",
="",986,,,,,421,="",="2/5/2026 4:51:41.538624225 PM",
="",987,,,,,413,="",="2/5/2026 4:51:41.539420655 PM",
="",988,,,,,400,="",="2/5/2026 4:51:41.540182645 PM",
="",1010,,,,,465,="",="2/5/2026 4:51:41.608214650 PM",
="",1024,,,,,323,="",="2/5/2026 4:51:41.668176280 PM",
="",1035,,,,,431,="",="2/5/2026 4:51:41.684488370 PM",
="",1038,,,,,369,="",="2/5/2026 4:51:41.693756730 PM",
="",1070,,,,,322,="",="2/5/2026 4:51:41.775342140 PM",
="",1082,,,,,388,="",="2/5/2026 4:51:41.824158730 PM",
="",1094,,,,,413,="",="2/5/2026 4:51:41.845086340 PM",
="",1119,,,,,421,="",="2/5/2026 4:51:41.946590910 PM",
="",1155,,,,,413,="",="2/5/2026 4:51:42.049818675 PM",
="",1156,,,,,400,="",="2/5/2026 4:51:42.050585320 PM",
="",1198,,,,,323,="",="2/5/2026 4:51:42.180321820 PM",
="",1214,,,,,271,="",="2/5/2026 4:51:42.246782405 PM",
="",1215,,,,,421,="",="2/5/2026 4:51:42.249321245 PM",
="",1216,,,,,418,="",="2/5/2026 4:51:42.251786085 PM",
="",1259,,,,,413,="",="2/5/2026 4:51:42.357207705 PM",
="",1295,,,,,427,="",="2/5/2026 4:51:42.480459245 PM",
="",1296,,,,,424,="",="2/5/2026 4:51:42.481302295 PM",
="",1297,,,,,397,="",="2/5/2026 4:51:42.483814310 PM",
="",1321,,,,,330,="",="2/5/2026 4:51:42.568294935 PM",
="",1351,,,,,421,="",="2/5/2026 4:51:42.663399120 PM",
="",1381,,,,,421,="",="2/5/2026 4:51:42.765797175 PM",
="",1382,,,,,413,="",="2/5/2026 4:51:42.766627285 PM",
="",1419,,,,,421,="",="2/5/2026 4:51:42.868198120 PM",
="",1420,,,,,413,="",="2/5/2026 4:51:42.868991030 PM",
="",1421,,,,,400,="",="2/5/2026 4:51:42.869738420 PM",
="",1434,,,,,113,="",="2/5/2026 4:51:42.921765620 PM",
="",1455,,,,,117,="",="2/5/2026 4:51:42.984091895 PM",
="",1477,,,,,421,="",="2/5/2026 4:51:43.069415225 PM",
="",1478,,,,,400,="",="2/5/2026 4:51:43.071017460 PM",
="",1489,,,,,365,="",="2/5/2026 4:51:43.097557725 PM",
="",1494,,,,,323,="",="2/5/2026 4:51:43.106077710 PM",
="",1515,,,,,424,="",="2/5/2026 4:51:43.198071495 PM",
="",1542,,,,,424,="",="2/5/2026 4:51:43.300431695 PM",
="",1569,,,,,424,="",="2/5/2026 4:51:43.402834455 PM",
="",1594,,,,,400,="",="2/5/2026 4:51:43.484223895 PM",
="",1596,,,,,424,="",="2/5/2026 4:51:43.505421905 PM",
="",1597,,,,,397,="",="2/5/2026 4:51:43.507136310 PM",
="",1626,,,,,397,="",="2/5/2026 4:51:43.609537965 PM",
="",1669,,,,,413,="",="2/5/2026 4:51:43.790664160 PM",
="",1670,,,,,339,="",="2/5/2026 4:51:43.804245210 PM",
="",1790,,,,,421,="",="2/5/2026 4:51:44.301808640 PM",
="",1791,,,,,400,="",="2/5/2026 4:51:44.303388475 PM",
="",1841,,,,,421,="",="2/5/2026 4:51:44.506612805 PM",
="",1846,,,,,369,="",="2/5/2026 4:51:44.528691855 PM",
="",1871,,,,,421,="",="2/5/2026 4:51:44.609012285 PM",
="",1872,,,,,413,="",="2/5/2026 4:51:44.609813595 PM",
="",1873,,,,,400,="",="2/5/2026 4:51:44.610619535 PM",
="",1897,,,,,421,="",="2/5/2026 4:51:44.711411365 PM",
="",1927,,,,,369,="",="2/5/2026 4:51:44.835985020 PM",
="",1931,,,,,435,="",="2/5/2026 4:51:44.846900200 PM",
="",1940,,,,,360,="",="2/5/2026 4:51:44.889371315 PM",
="",2032,,,,,435,="",="2/5/2026 4:51:45.256505495 PM",
="",2076,,,,,342,="",="2/5/2026 4:51:45.401123245 PM",
="",2130,,,,,333,="",="2/5/2026 4:51:45.588290715 PM",
="",2151,,,,,51,="",="2/5/2026 4:51:45.661372955 PM",
="",2190,,,,,113,="",="2/5/2026 4:51:45.822876570 PM",
="",2208,,,,,342,="",="2/5/2026 4:51:45.913131045 PM",
="",2216,,,,,413,="",="2/5/2026 4:51:45.941232485 PM",
="",2260,,,,,434,="",="2/5/2026 4:51:46.078351165 PM",
="",2268,,,,,113,="",="2/5/2026 4:51:46.117762700 PM",
="",2275,,,,,421,="",="2/5/2026 4:51:46.145120875 PM",
="",2276,,,,,400,="",="2/5/2026 4:51:46.146642760 PM",
="",2331,,,,,434,="",="2/5/2026 4:51:46.386345600 PM",
="",2332,,,,,434,="",="2/5/2026 4:51:46.387132610 PM",
="",2342,,,,,342,="",="2/5/2026 4:51:46.425130350 PM",
="",2407,,,,,469,="",="2/5/2026 4:51:46.661540770 PM",
="",2438,,,,,451,="",="2/5/2026 4:51:46.736128310 PM",
="",2452,,,,,180,="",="2/5/2026 4:51:46.786276135 PM",
="",2466,,,,,466,="",="2/5/2026 4:51:46.843978935 PM",
="",2478,,,,,339,="",="2/5/2026 4:51:46.876257605 PM",
="",2520,,,,,113,="",="2/5/2026 4:51:47.039363695 PM",
="",2536,,,,,397,="",="2/5/2026 4:51:47.102875520 PM",
="",2572,,,,,413,="",="2/5/2026 4:51:47.268710510 PM",
="",2573,,,,,400,="",="2/5/2026 4:51:47.269465795 PM",
="",2581,,,,,435,="",="2/5/2026 4:51:47.304538545 PM",
="",2608,,,,,435,="",="2/5/2026 4:51:47.406940545 PM",
="",2646,,,,,113,="",="2/5/2026 4:51:47.562093760 PM",
="",2677,,,,,400,="",="2/5/2026 4:51:47.679124905 PM",
="",2700,,,,,360,="",="2/5/2026 4:51:47.759916865 PM",
="",2706,,,,,113,="",="2/5/2026 4:51:47.776628920 PM",
="",2710,,,,,421,="",="2/5/2026 4:51:47.779863935 PM",
="",2715,,,,,117,="",="2/5/2026 4:51:47.788152185 PM",
="",2718,,,,,117,="",="2/5/2026 4:51:47.789583295 PM",
="",2723,,,,,117,="",="2/5/2026 4:51:47.791127965 PM",
="",2726,,,,,99,="",="2/5/2026 4:51:47.791327565 PM",
="",2727,,,,,229,="",="2/5/2026 4:51:47.792169305 PM",
="",2728,,,,,117,="",="2/5/2026 4:51:47.792295675 PM",
="",2729,,,,,117,="",="2/5/2026 4:51:47.792494695 PM",
="",2732,,,,,117,="",="2/5/2026 4:51:47.793217350 PM",
="",2738,,,,,117,="",="2/5/2026 4:51:47.794754060 PM",
="",2742,,,,,117,="",="2/5/2026 4:51:47.796021375 PM",
="",2744,,,,,169,="",="2/5/2026 4:51:47.796624545 PM",
="",2750,,,,,99,="",="2/5/2026 4:51:47.797816590 PM",
="",2754,,,,,99,="",="2/5/2026 4:51:47.798669660 PM",
="",2755,,,,,117,="",="2/5/2026 4:51:47.800221460 PM",
="",2767,,,,,105,="",="2/5/2026 4:51:47.812011970 PM",
="",2770,,,,,117,="",="2/5/2026 4:51:47.812319100 PM",
="",2802,,,,,113,="",="2/5/2026 4:51:47.923880205 PM",
="",2827,,,,,113,="",="2/5/2026 4:51:48.020367135 PM",
="",2846,,,,,303,="",="2/5/2026 4:51:48.083917320 PM",
="",2847,,,,,421,="",="2/5/2026 4:51:48.087086045 PM",
="",2871,,,,,413,="",="2/5/2026 4:51:48.190376345 PM",
="",2887,,,,,435,="",="2/5/2026 4:51:48.228759055 PM",
="",2888,,,,,434,="",="2/5/2026 4:51:48.229581645 PM",
="",2890,,,,,397,="",="2/5/2026 4:51:48.231163825 PM",
="",2920,,,,,229,="",="2/5/2026 4:51:48.331749610 PM",
="",2922,,,,,376,="",="2/5/2026 4:51:48.349301280 PM",
="",2930,,,,,229,="",="2/5/2026 4:51:48.363770760 PM",
="",2931,,,,,360,="",="2/5/2026 4:51:48.371056175 PM",
="",2959,,,,,400,="",="2/5/2026 4:51:48.498265575 PM",
="",2963,,,,,99,="",="2/5/2026 4:51:48.502318225 PM",
="",2989,,,,,117,="",="2/5/2026 4:51:48.623741040 PM",
="",3009,,,,,421,="",="2/5/2026 4:51:48.705044410 PM",
="",3039,,,,,425,="",="2/5/2026 4:51:48.799645395 PM",
="",3046,,,,,427,="",="2/5/2026 4:51:48.829313285 PM",
="",3077,,,,,435,="",="2/5/2026 4:51:48.942965580 PM",
="",3079,,,,,434,="",="2/5/2026 4:51:48.946127875 PM",
="",3096,,,,,421,="",="2/5/2026 4:51:49.008677370 PM",
="",3097,,,,,413,="",="2/5/2026 4:51:49.009487320 PM",
="",3098,,,,,400,="",="2/5/2026 4:51:49.010235470 PM",
="",3109,,,,,435,="",="2/5/2026 4:51:49.045444200 PM",
="",3116,,,,,429,="",="2/5/2026 4:51:49.075893935 PM",
="",3121,,,,,429,="",="2/5/2026 4:51:49.078059235 PM",
="",3134,,,,,117,="",="2/5/2026 4:51:49.092214955 PM",
="",3138,,,,,421,="",="2/5/2026 4:51:49.111078960 PM",
="",3158,,,,,360,="",="2/5/2026 4:51:49.190187515 PM",
="",3222,,,,,400,="",="2/5/2026 4:51:49.423468890 PM",
="",3229,,,,,303,="",="2/5/2026 4:51:49.442720705 PM",
="",3237,,,,,323,="",="2/5/2026 4:51:49.461972125 PM",
="",3282,,,,,117,="",="2/5/2026 4:51:49.629326310 PM",
="",3294,,,,,360,="",="2/5/2026 4:51:49.702187260 PM",
="",3306,,,,,425,="",="2/5/2026 4:51:49.721759010 PM",
="",3315,,,,,415,="",="2/5/2026 4:51:49.746955265 PM",
="",3406,,,,,99,="",="2/5/2026 4:51:50.088710915 PM",
="",3418,,,,,579,="",="2/5/2026 4:51:50.121764185 PM",
="",3423,,,,,421,="",="2/5/2026 4:51:50.138915380 PM",
="",3444,,,,,425,="",="2/5/2026 4:51:50.228933410 PM",
="",3462,,,,,323,="",="2/5/2026 4:51:50.280655230 PM",
="",3489,,,,,424,="",="2/5/2026 4:51:50.366196430 PM",
="",3508,,,,,425,="",="2/5/2026 4:51:50.433763670 PM",
="",3513,,,,,421,="",="2/5/2026 4:51:50.445854135 PM",
="",3515,,,,,400,="",="2/5/2026 4:51:50.447451850 PM",
="",3590,,,,,468,="",="2/5/2026 4:51:50.727940400 PM",
="",3609,,,,,297,="",="2/5/2026 4:51:50.785197155 PM",
="",3610,,,,,434,="",="2/5/2026 4:51:50.788778405 PM",
="",3660,,,,,413,="",="2/5/2026 4:51:50.958688210 PM",
="",3664,,,,,125,="",="2/5/2026 4:51:50.971519940 PM",
="",3676,,,,,579,="",="2/5/2026 4:51:51.014867590 PM",
="",3690,,,,,449,="",="2/5/2026 4:51:51.069218075 PM",
="",3692,,,,,429,="",="2/5/2026 4:51:51.070033205 PM",
="",3717,,,,,229,="",="2/5/2026 4:51:51.139189475 PM",
="",3720,,,,,459,="",="2/5/2026 4:51:51.144917350 PM",
="",3746,,,,,425,="",="2/5/2026 4:51:51.253499525 PM",
="",3812,,,,,429,="",="2/5/2026 4:51:51.487909945 PM",
="",3842,,,,,303,="",="2/5/2026 4:51:51.593120540 PM",
="",3858,,,,,219,="",="2/5/2026 4:51:51.644969065 PM",
="",3866,,,,,413,="",="2/5/2026 4:51:51.675461945 PM",
="",3867,,,,,400,="",="2/5/2026 4:51:51.676236630 PM",
="",3875,,,,,323,="",="2/5/2026 4:51:51.703973905 PM",
="",3911,,,,,434,="",="2/5/2026 4:51:51.811780470 PM",
="",3926,,,,,117,="",="2/5/2026 4:51:51.879120910 PM",
="",3928,,,,,413,="",="2/5/2026 4:51:51.880308880 PM",
="",3931,,,,,309,="",="2/5/2026 4:51:51.898308810 PM",
="",3937,,,,,297,="",="2/5/2026 4:51:51.905285230 PM",
="",3943,,,,,434,="",="2/5/2026 4:51:51.914181830 PM",
="",3944,,,,,434,="",="2/5/2026 4:51:51.914963905 PM",
="",3958,,,,,117,="",="2/5/2026 4:51:51.979698080 PM",
="",3988,,,,,303,="",="2/5/2026 4:51:52.080333490 PM",
="",3989,,,,,415,="",="2/5/2026 4:51:52.083409095 PM",
="",3990,,,,,229,="",="2/5/2026 4:51:52.084268715 PM",
="",4008,,,,,434,="",="2/5/2026 4:51:52.119766280 PM",
="",4012,,,,,117,="",="2/5/2026 4:51:52.136617060 PM",
="",4015,,,,,99,="",="2/5/2026 4:51:52.140349030 PM",
="",4028,,,,,425,="",="2/5/2026 4:51:52.162231290 PM",
="",4059,,,,,315,="",="2/5/2026 4:51:52.260687665 PM",
="",4060,,,,,425,="",="2/5/2026 4:51:52.264117160 PM",
="",4063,,,,,323,="",="2/5/2026 4:51:52.275796555 PM",
="",4068,,,,,425,="",="2/5/2026 4:51:52.289035350 PM",
="",4069,,,,,413,="",="2/5/2026 4:51:52.290241460 PM",
="",4107,,,,,109,="",="2/5/2026 4:51:52.370267045 PM",
="",4149,,,,,443,="",="2/5/2026 4:51:52.469417030 PM",
="",4155,,,,,421,="",="2/5/2026 4:51:52.493869725 PM",
="",4178,,,,,315,="",="2/5/2026 4:51:52.567151385 PM",
="",4186,,,,,428,="",="2/5/2026 4:51:52.574103695 PM",
="",4191,,,,,421,="",="2/5/2026 4:51:52.596273675 PM",
="",4192,,,,,400,="",="2/5/2026 4:51:52.597881965 PM",
="",4202,,,,,309,="",="2/5/2026 4:51:52.642087545 PM",
="",4211,,,,,443,="",="2/5/2026 4:51:52.674218340 PM",
="",4221,,,,,484,="",="2/5/2026 4:51:52.695639155 PM",
="",4223,,,,,400,="",="2/5/2026 4:51:52.700330140 PM",
="",4229,,,,,579,="",="2/5/2026 4:51:52.716939920 PM",
="",4264,,,,,551,="",="2/5/2026 4:51:52.800661055 PM",
="",4269,,,,,323,="",="2/5/2026 4:51:52.827234760 PM",
="",4293,,,,,425,="",="2/5/2026 4:51:52.878689510 PM",
="",4315,,,,,229,="",="2/5/2026 4:51:52.971184500 PM",
="",4317,,,,,229,="",="2/5/2026 4:51:52.971738115 PM",
="",4328,,,,,413,="",="2/5/2026 4:51:53.006701895 PM",
="",4364,,,,,421,="",="2/5/2026 4:51:53.108274545 PM",
="",4372,,,,,303,="",="2/5/2026 4:51:53.129126955 PM",
="",4376,,,,,117,="",="2/5/2026 4:51:53.133929180 PM",
="",4379,,,,,434,="",="2/5/2026 4:51:53.143569180 PM",
="",4393,,,,,99,="",="2/5/2026 4:51:53.179537020 PM",
="",4404,,,,,117,="",="2/5/2026 4:51:53.234511380 PM",
="",4411,,,,,376,="",="2/5/2026 4:51:53.264594280 PM",
="",4457,,,,,388,="",="2/5/2026 4:51:53.392089400 PM",
="",4465,,,,,413,="",="2/5/2026 4:51:53.416311785 PM",
="",4481,,,,,383,="",="2/5/2026 4:51:53.459426375 PM",
="",4528,,,,,229,="",="2/5/2026 4:51:53.600817865 PM",
="",4535,,,,,421,="",="2/5/2026 4:51:53.620278635 PM",
="",4537,,,,,400,="",="2/5/2026 4:51:53.621847510 PM",
="",4576,,,,,303,="",="2/5/2026 4:51:53.743518910 PM",
="",4599,,,,,421,="",="2/5/2026 4:51:53.825080090 PM",
="",4600,,,,,413,="",="2/5/2026 4:51:53.825880920 PM",
="",4601,,,,,400,="",="2/5/2026 4:51:53.826653710 PM",
="",4607,,,,,99,="",="2/5/2026 4:51:53.852122935 PM",
="",4613,,,,,434,="",="2/5/2026 4:51:53.862625120 PM",
="",4614,,,,,397,="",="2/5/2026 4:51:53.863432385 PM",
="",4620,,,,,117,="",="2/5/2026 4:51:53.883345970 PM",
="",4628,,,,,443,="",="2/5/2026 4:51:53.903042210 PM",
="",4666,,,,,413,="",="2/5/2026 4:51:54.030743565 PM",
="",4684,,,,,443,="",="2/5/2026 4:51:54.107839760 PM",
="",4693,,,,,425,="",="2/5/2026 4:51:54.122776560 PM",
="",4717,,,,,443,="",="2/5/2026 4:51:54.210234200 PM",
="",4726,,,,,421,="",="2/5/2026 4:51:54.234683495 PM",
="",4729,,,,,400,="",="2/5/2026 4:51:54.236475020 PM",
="",4735,,,,,435,="",="2/5/2026 4:51:54.267852415 PM",
="",4750,,,,,443,="",="2/5/2026 4:51:54.313153505 PM",
="",4755,,,,,303,="",="2/5/2026 4:51:54.330313395 PM",
="",4767,,,,,434,="",="2/5/2026 4:51:54.374445025 PM",
="",4768,,,,,397,="",="2/5/2026 4:51:54.375288345 PM",
="",4830,,,,,434,="",="2/5/2026 4:51:54.579434940 PM",
="",4859,,,,,434,="",="2/5/2026 4:51:54.680072220 PM",
="",4870,,,,,425,="",="2/5/2026 4:51:54.722277790 PM",
="",4881,,,,,425,="",="2/5/2026 4:51:54.734599485 PM",
="",4910,,,,,413,="",="2/5/2026 4:51:54.849933315 PM",
="",4940,,,,,413,="",="2/5/2026 4:51:54.952326395 PM",
="",4966,,,,,117,="",="2/5/2026 4:51:55.035787615 PM",
="",4979,,,,,309,="",="2/5/2026 4:51:55.099691140 PM",
="",4994,,,,,579,="",="2/5/2026 4:51:55.133576370 PM",
="",5007,,,,,99,="",="2/5/2026 4:51:55.170687005 PM",
="",5015,,,,,434,="",="2/5/2026 4:51:55.191167580 PM",
="",5043,,,,,435,="",="2/5/2026 4:51:55.293202905 PM",
="",5063,,,,,316,="",="2/5/2026 4:51:55.351635885 PM",
="",5124,,,,,367,="",="2/5/2026 4:51:55.590564900 PM",
="",5131,,,,,435,="",="2/5/2026 4:51:55.601678170 PM",
="",5156,,,,,435,="",="2/5/2026 4:51:55.704082385 PM",
="",5175,,,,,425,="",="2/5/2026 4:51:55.746277840 PM",
="",5176,,,,,388,="",="2/5/2026 4:51:55.750259460 PM",
="",5183,,,,,117,="",="2/5/2026 4:51:55.776273070 PM",
="",5194,,,,,109,="",="2/5/2026 4:51:55.787652715 PM",
="",5196,,,,,119,="",="2/5/2026 4:51:55.789692150 PM",
="",5198,,,,,117,="",="2/5/2026 4:51:55.791921370 PM",
="",5207,,,,,229,="",="2/5/2026 4:51:55.797992755 PM",
="",5208,,,,,323,="",="2/5/2026 4:51:55.798248230 PM",
="",5224,,,,,117,="",="2/5/2026 4:51:55.828229025 PM",
="",5245,,,,,117,="",="2/5/2026 4:51:55.852591470 PM",
="",5250,,,,,117,="",="2/5/2026 4:51:55.854897535 PM",
="",5261,,,,,229,="",="2/5/2026 4:51:55.877485005 PM",
="",5262,,,,,1423,="",="2/5/2026 4:51:55.877649600 PM",
="",5264,,,,,229,="",="2/5/2026 4:51:55.879738990 PM",
="",5278,,,,,229,="",="2/5/2026 4:51:55.890452745 PM",
="",5280,,,,,103,="",="2/5/2026 4:51:55.891036700 PM",
="",5312,,,,,229,="",="2/5/2026 4:51:55.932678390 PM",
="",5313,,,,,229,="",="2/5/2026 4:51:55.932841980 PM",
="",5314,,,,,229,="",="2/5/2026 4:51:55.932965570 PM",
="",5316,,,,,1423,="",="2/5/2026 4:51:55.934192620 PM",
="",5321,,,,,229,="",="2/5/2026 4:51:55.936946090 PM",
="",5322,,,,,229,="",="2/5/2026 4:51:55.937110685 PM",
="",5331,,,,,229,="",="2/5/2026 4:51:55.941362765 PM",
="",5332,,,,,229,="",="2/5/2026 4:51:55.941583900 PM",
="",5333,,,,,229,="",="2/5/2026 4:51:55.941769035 PM",
="",5334,,,,,229,="",="2/5/2026 4:51:55.941954175 PM",
="",5337,,,,,229,="",="2/5/2026 4:51:55.942509585 PM",
="",5345,,,,,117,="",="2/5/2026 4:51:55.947214545 PM",
="",5347,,,,,229,="",="2/5/2026 4:51:55.949338170 PM",
="",5351,,,,,229,="",="2/5/2026 4:51:55.953515635 PM",
="",5352,,,,,229,="",="2/5/2026 4:51:55.953679225 PM",
="",5353,,,,,229,="",="2/5/2026 4:51:55.953802815 PM",
="",5368,,,,,117,="",="2/5/2026 4:51:55.971602205 PM",
